jahr;erzeugung;eigenverbrauch;einspeisung;strompreis_ct;ersparnis;einspeiseerloes;kosten;cashflow;kumuliert;cashflow_disk;kumuliert_disk
0;0.0;0.0;0.0;0.0;0.0;0.0;610.65;-610.65;-610.65;-610.65;-610.65
1;947.52;871.09;23.97;36.0;313.59;0.0;0.0;313.59;-297.06;310.49;-300.16
2;943.73;867.67;23.8;37.26;323.3;0.0;0.0;323.3;26.24;316.93;16.76
3;939.96;864.27;23.61;38.56;333.3;0.0;0.0;333.3;359.54;323.5;340.26
4;936.2;860.89;23.42;39.91;343.61;0.0;0.0;343.61;703.15;330.21;670.47
5;932.45;857.52;23.23;41.31;354.25;0.0;0.0;354.25;1057.4;337.06;1007.52
6;928.72;854.17;23.04;42.76;365.22;0.0;0.0;365.22;1422.62;344.05;1351.57
7;925.01;850.84;22.84;44.25;376.52;0.0;0.0;376.52;1799.14;351.19;1702.76
8;921.31;847.52;22.63;45.8;388.18;0.0;0.0;388.18;2187.32;358.48;2061.24
9;917.62;844.21;22.44;47.41;400.2;0.0;0.0;400.2;2587.52;365.92;2427.16
10;913.95;840.91;22.25;49.06;412.59;0.0;0.0;412.59;3000.11;373.51;2800.67
11;910.29;837.63;22.05;50.78;425.36;0.0;0.0;425.36;3425.47;381.26;3181.93
12;906.65;834.37;21.84;52.56;438.54;0.0;0.0;438.54;3864.01;389.18;3571.11
13;903.03;831.12;21.64;54.4;452.12;0.0;0.0;452.12;4316.13;397.26;3968.37
14;899.41;827.89;21.43;56.3;466.12;0.0;0.0;466.12;4782.25;405.51;4373.88
15;895.82;824.68;21.21;58.27;480.57;0.0;0.0;480.57;5262.82;413.94;4787.82
16;892.23;821.49;20.99;60.31;495.46;0.0;0.0;495.46;5758.28;422.54;5210.36
17;888.66;818.31;20.77;62.42;510.82;0.0;0.0;510.82;6269.09;431.32;5641.68
18;885.11;815.14;20.55;64.61;526.65;0.0;0.0;526.65;6795.74;440.29;6081.97
19;881.57;812.0;20.32;66.87;542.98;0.0;0.0;542.98;7338.72;449.45;6531.41
20;878.04;808.87;20.09;69.21;559.82;0.0;0.0;559.82;7898.54;458.79;6990.21
