jahr;erzeugung;eigenverbrauch;einspeisung;strompreis_ct;ersparnis;einspeiseerloes;kosten;cashflow;kumuliert;cashflow_disk;kumuliert_disk
0;0.0;0.0;0.0;0.0;0.0;0.0;1020.65;-1020.65;-1020.65;-1020.65;-1020.65
1;486.08;338.26;0.0;28.0;94.71;0.0;10.0;84.71;-935.94;82.24;-938.41
2;483.16;335.73;0.0;28.0;94.0;0.0;10.0;84.0;-851.93;79.18;-859.22
3;480.26;333.21;0.0;28.0;93.3;0.0;10.0;83.3;-768.63;76.23;-782.99
4;477.38;330.71;0.0;28.0;92.6;0.0;10.0;82.6;-686.04;73.39;-709.61
5;474.52;328.22;0.0;28.0;91.9;0.0;10.0;81.9;-604.14;70.65;-638.96
6;471.67;325.74;0.0;28.0;91.21;0.0;10.0;81.21;-522.93;68.01;-570.95
7;468.84;323.28;0.0;28.0;90.52;0.0;10.0;80.52;-442.41;65.47;-505.48
8;466.03;320.83;0.0;28.0;89.83;0.0;10.0;79.83;-362.58;63.02;-442.46
9;463.23;318.39;0.0;28.0;89.15;0.0;10.0;79.15;-283.43;60.66;-381.8
10;460.45;315.97;0.0;28.0;88.47;0.0;10.0;78.47;-204.96;58.39;-323.41
11;457.69;313.56;0.0;28.0;87.8;0.0;10.0;77.8;-127.16;56.2;-267.2
12;454.94;311.15;0.0;28.0;87.12;0.0;460.0;-372.88;-500.04;-261.53;-528.73
13;452.21;308.76;0.0;28.0;86.45;0.0;10.0;76.45;-423.58;52.06;-476.67
14;449.5;306.38;0.0;28.0;85.79;0.0;10.0;75.79;-347.8;50.1;-426.57
15;446.8;304.01;0.0;28.0;85.12;0.0;10.0;75.12;-272.67;48.22;-378.35
16;444.12;301.65;0.0;28.0;84.46;0.0;10.0;74.46;-198.21;46.4;-331.95
17;441.46;299.3;0.0;28.0;83.8;0.0;10.0;73.8;-124.41;44.65;-287.3
18;438.81;296.96;0.0;28.0;83.15;0.0;10.0;73.15;-51.26;42.97;-244.33
19;436.18;294.64;0.0;28.0;82.5;0.0;10.0;72.5;21.24;41.35;-202.98
20;433.56;292.33;0.0;28.0;81.85;0.0;10.0;71.85;93.09;39.78;-163.2
