jahr;erzeugung;eigenverbrauch;einspeisung;strompreis_ct;ersparnis;einspeiseerloes;kosten;cashflow;kumuliert;cashflow_disk;kumuliert_disk
0;0.0;0.0;0.0;0.0;0.0;0.0;640.65;-640.65;-640.65;-640.65;-640.65
1;627.2;541.89;0.0;32.44;175.79;0.0;5.0;170.79;-469.86;167.44;-473.21
2;624.06;538.97;0.0;33.09;178.34;0.0;5.0;173.34;-296.52;166.61;-306.6
3;620.94;536.06;0.0;33.75;180.92;0.0;5.0;175.92;-120.6;165.78;-140.83
4;617.84;533.16;0.0;34.43;183.54;0.0;5.0;178.54;57.94;164.95;24.12
5;614.75;530.27;0.0;35.11;186.2;0.0;5.0;181.2;239.14;164.12;188.24
6;611.68;527.4;0.0;35.82;188.9;0.0;5.0;183.9;423.04;163.29;351.53
7;608.62;524.54;0.0;36.53;191.63;0.0;5.0;186.63;609.67;162.47;514.01
8;605.57;521.7;0.0;37.26;194.4;0.0;5.0;189.4;799.07;161.65;675.66
9;602.55;518.87;0.0;38.01;197.21;0.0;5.0;192.21;991.29;160.84;836.5
10;599.53;516.05;0.0;38.77;200.07;0.0;5.0;195.07;1186.35;160.02;996.52
11;596.54;513.24;0.0;39.54;202.96;0.0;5.0;197.96;1384.31;159.21;1155.73
12;593.55;510.44;0.0;40.34;205.89;0.0;5.0;200.89;1585.2;158.4;1314.12
13;590.59;507.66;0.0;41.14;208.86;0.0;5.0;203.86;1789.06;157.59;1471.72
14;587.63;504.89;0.0;41.96;211.88;0.0;5.0;206.88;1995.93;156.79;1628.5
15;584.69;502.13;0.0;42.8;214.93;0.0;5.0;209.93;2205.87;155.98;1784.48
16;581.77;499.39;0.0;43.66;218.03;0.0;5.0;213.03;2418.9;155.18;1939.67
17;578.86;496.66;0.0;44.53;221.18;0.0;5.0;216.18;2635.08;154.39;2094.05
18;575.97;493.94;0.0;45.42;224.36;0.0;5.0;219.36;2854.44;153.59;2247.64
19;573.09;491.23;0.0;46.33;227.6;0.0;5.0;222.6;3077.04;152.8;2400.44
20;570.22;488.53;0.0;47.26;230.88;0.0;5.0;225.88;3302.91;152.01;2552.45
